Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!Less than high school graduate:,Margin of Error!!Total:!!Less than high school graduate:,Estimate!!Total:!!Less than high school graduate:!!In labor force:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Less than high school graduate:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Less than high school graduate:!!Not in labor force,Margin of Error!!Total:!!Less than high school graduate:!!Not in labor force,Estimate!!Total:!!High school graduate (includes equivalency):,Margin of Error!!Total:!!High school graduate (includes equivalency):,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!In Armed Forces,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!High school graduate (includes equivalency):!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Margin of Error!!Total:!!High school graduate (includes equivalency):!!Not in labor force,Estimate!!Total:!!Some college or associate's degree:,Margin of Error!!Total:!!Some college or associate's degree:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Some college or associate's degree:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Some college or associate's degree:!!Not in labor force,Margin of Error!!Total:!!Some college or associate's degree:!!Not in labor force,Estimate!!Total:!!Bachelor's degree or higher:,Margin of Error!!Total:!!Bachelor's degree or higher:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!In Armed Forces,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Employed,Estimate!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Margin of Error!!Total:!!Bachelor's degree or higher:!!In labor force:!!Civilian:!!Unemployed,Estimate!!Total:!!Bachelor's degree or higher:!!Not in labor force,Margin of Error!!Total:!!Bachelor's degree or higher:!!Not in labor force
ZCTA5 22042,21140,1102,2804,688,2345,634,0,27,2345,634,2147,602,198,172,459,161,3084,472,2430,413,0,27,2430,413,2341,412,89,62,654,202,3337,462,2906,433,20,22,2886,434,2833,437,53,39,431,142,11915,893,10774,835,117,83,10657,832,10347,834,310,118,1141,222
ZCTA5 22043,14636,1082,992,520,890,492,0,24,890,492,890,492,0,24,102,106,1326,369,826,262,0,24,826,262,774,259,52,43,500,251,2189,455,1875,438,0,24,1875,438,1792,426,83,105,314,116,10129,898,8677,821,118,57,8559,825,8382,823,177,140,1452,392
ZCTA5 22044,7620,878,1287,474,1006,452,0,20,1006,452,1006,452,0,20,281,132,1300,331,955,277,0,20,955,277,949,276,6,11,345,166,917,294,695,277,3,5,692,276,620,260,72,92,222,115,4116,488,3610,462,46,36,3564,457,3411,423,153,78,506,124
ZCTA5 22046,10198,482,391,195,320,185,0,20,320,185,320,185,0,20,71,46,959,250,805,231,0,20,805,231,789,226,16,20,154,79,1031,237,831,225,0,20,831,225,810,223,21,24,200,84,7817,454,7081,465,108,80,6973,470,6848,472,125,66,736,149
ZCTA5 22060,4112,467,78,63,55,48,0,18,55,48,55,48,0,18,23,26,387,107,251,83,79,45,172,76,154,73,18,25,136,63,1667,295,1081,181,509,99,572,146,496,131,76,57,586,234,1980,312,1624,289,772,152,852,235,797,197,55,69,356,115
ZCTA5 22066,8523,662,47,38,17,19,0,20,17,19,17,19,0,20,30,34,432,168,349,156,0,20,349,156,282,119,67,58,83,53,875,184,662,157,0,20,662,157,616,142,46,51,213,81,7169,608,5708,565,16,24,5692,565,5487,556,205,88,1461,186
ZCTA5 22079,20561,1251,1348,420,1058,399,0,27,1058,399,945,382,113,148,290,152,3488,676,2898,554,0,27,2898,554,2851,548,47,42,590,222,5149,582,4385,528,38,43,4347,525,4166,520,181,118,764,211,10576,1011,9314,816,669,342,8645,786,8471,792,174,94,1262,385
ZCTA5 22101,14514,1007,283,151,217,141,0,27,217,141,217,141,0,27,66,50,261,113,179,95,0,27,179,95,165,94,14,21,82,50,1130,248,802,206,19,28,783,203,762,200,21,24,328,139,12840,865,10395,764,89,47,10306,772,10104,746,202,86,2445,364
ZCTA5 22102,15525,1057,288,201,218,175,0,24,218,175,218,175,0,24,70,94,618,231,449,173,0,24,449,173,309,138,140,126,169,131,1347,308,1105,283,0,24,1105,283,1040,280,65,56,242,105,13272,937,11521,837,56,46,11465,832,11107,810,358,165,1751,280
ZCTA5 22124,9722,702,214,99,128,77,0,20,128,77,93,62,35,37,86,57,381,189,286,165,0,20,286,165,267,162,19,19,95,76,1111,271,836,222,0,20,836,222,821,218,15,24,275,127,8016,648,6984,611,7,11,6977,613,6905,609,72,55,1032,189
ZCTA5 22125,567,166,0,13,0,13,0,13,0,13,0,13,0,13,0,13,75,49,72,49,0,13,72,49,72,49,0,13,3,5,195,72,189,72,0,13,189,72,166,64,23,37,6,8,297,93,270,87,0,13,270,87,267,87,3,5,27,18
ZCTA5 22134,2553,413,60,41,29,22,0,18,29,22,24,20,5,7,31,25,572,191,517,196,352,168,165,79,165,79,0,18,55,41,757,215,591,201,344,133,247,164,236,164,11,17,166,72,1164,241,974,230,656,178,318,127,304,122,14,23,190,60
ZCTA5 22150,14959,894,2295,496,1826,481,0,24,1826,481,1759,465,67,79,469,190,2866,489,2287,421,16,25,2271,417,2191,427,80,66,579,207,3556,628,3060,573,67,50,2993,574,2772,528,221,150,496,174,6242,575,5474,517,324,153,5150,481,5063,482,87,53,768,176
ZCTA5 22151,9356,958,1458,379,1274,366,0,20,1274,366,1274,366,0,20,184,104,1430,297,1109,291,0,20,1109,291,1060,248,49,77,321,121,2003,364,1699,336,0,20,1699,336,1648,323,51,83,304,193,4465,485,4059,415,162,83,3897,436,3792,429,105,93,406,157
ZCTA5 22152,15387,770,911,322,656,300,0,27,656,300,638,298,18,24,255,99,2043,388,1606,323,28,43,1578,316,1557,313,21,28,437,138,2947,297,2410,274,17,16,2393,273,2359,274,34,30,537,122,9486,462,8483,446,441,112,8042,451,7797,456,245,103,1003,149
ZCTA5 22153,17128,1040,834,359,643,358,0,27,643,358,520,219,123,155,191,90,1745,338,1484,294,29,35,1455,299,1284,275,171,126,261,102,3648,395,3010,351,80,58,2930,346,2739,339,191,154,638,152,10901,759,9685,732,347,125,9338,719,9111,724,227,94,1216,156
ZCTA5 22172,6249,787,962,283,690,252,0,20,690,252,604,212,86,99,272,145,1120,214,902,202,0,20,902,202,797,181,105,71,218,113,1799,410,1328,307,19,21,1309,309,1229,283,80,89,471,222,2368,408,2085,356,100,57,1985,353,1935,354,50,36,283,159
ZCTA5 22180,12901,695,507,264,374,252,0,24,374,252,363,251,11,17,133,75,806,198,610,165,0,24,610,165,610,165,0,24,196,71,1691,327,1283,253,33,37,1250,250,1199,247,51,33,408,167,9897,627,8758,585,62,41,8696,581,8530,556,166,136,1139,175
ZCTA5 22181,7446,632,200,116,176,113,0,20,176,113,176,113,0,20,24,24,286,123,219,108,0,20,219,108,196,100,23,37,67,52,823,246,550,184,0,20,550,184,550,184,0,20,273,141,6137,591,5393,511,83,79,5310,502,5138,486,172,100,744,186
ZCTA5 22182,13672,935,299,129,198,105,0,24,198,105,163,95,35,48,101,89,599,134,437,141,0,24,437,141,419,139,18,28,162,92,1499,258,1125,231,0,24,1125,231,1077,227,48,37,374,115,11275,885,9263,754,99,64,9164,749,8874,709,290,143,2012,451
ZCTA5 22185,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22191,41500,1658,5656,609,4204,546,0,30,4204,546,3665,508,539,269,1452,307,8722,940,7354,816,46,52,7308,820,6695,691,613,303,1368,364,11581,1106,10271,1082,315,153,9956,1064,9403,961,553,429,1310,245,15541,1113,14317,1094,576,193,13741,1069,13393,1043,348,196,1224,321
ZCTA5 22192,32176,1207,2741,575,1662,334,0,30,1662,334,1527,312,135,113,1079,420,5786,695,4827,625,7,12,4820,626,4585,602,235,121,959,261,9576,768,7957,724,234,131,7723,722,7490,711,233,98,1619,236,14073,857,12472,826,433,150,12039,801,11857,809,182,71,1601,244
ZCTA5 22193,45419,1784,6459,723,4673,554,0,30,4673,554,4420,566,253,112,1786,368,9835,802,8271,689,28,24,8243,691,7734,660,509,186,1564,311,12957,784,11023,736,188,119,10835,716,10543,707,292,140,1934,295,16168,1235,14168,1062,368,127,13800,1049,13437,1048,363,142,2000,373
ZCTA5 22201,27164,1013,563,228,343,171,0,27,343,171,343,171,0,27,220,135,1046,282,714,251,0,27,714,251,661,246,53,66,332,111,1809,362,1399,322,33,38,1366,312,1291,308,75,57,410,157,23746,1009,22382,983,214,92,22168,983,21771,981,397,149,1364,246
ZCTA5 22202,18698,1341,131,65,83,60,0,24,83,60,82,60,1,3,48,36,646,233,572,234,0,24,572,234,560,231,12,21,74,62,1609,352,1315,306,136,108,1179,254,1156,250,23,36,294,128,16312,1257,15172,1190,523,177,14649,1141,14333,1128,316,117,1140,327
ZCTA5 22203,15946,1066,706,248,649,242,0,24,649,242,609,234,40,43,57,75,906,225,676,165,0,24,676,165,667,161,9,13,230,156,1186,268,1038,241,0,24,1038,241,1001,242,37,42,148,84,13148,1078,12125,1030,107,72,12018,1017,11745,1003,273,162,1023,341
ZCTA5 22204,33369,1230,3308,644,2784,613,0,30,2784,613,2684,603,100,89,524,153,4199,637,3481,533,22,28,3459,529,3318,508,141,84,718,238,5218,615,4399,547,40,54,4359,544,4081,516,278,127,819,265,20644,1278,19226,1216,408,149,18818,1194,18419,1173,399,185,1418,212
ZCTA5 22205,9987,789,475,232,425,230,0,20,425,230,362,178,63,100,50,39,772,259,681,263,0,20,681,263,597,248,84,78,91,42,854,251,661,236,0,20,661,236,661,236,0,20,193,80,7886,661,7120,629,112,74,7008,607,6933,606,75,38,766,175
ZCTA5 22206,14583,958,768,301,662,286,0,24,662,286,661,286,1,4,106,77,578,192,429,148,0,24,429,148,401,151,28,36,149,98,1899,565,1578,435,59,54,1519,440,1463,440,56,59,321,186,11338,807,10576,811,400,166,10176,794,9985,790,191,110,762,207
ZCTA5 22207,17494,918,388,192,134,72,0,27,134,72,134,72,0,27,254,177,1143,367,809,306,0,27,809,306,767,289,42,50,334,145,1520,352,978,239,0,27,978,239,962,235,16,16,542,227,14443,797,12667,769,176,102,12491,770,12316,762,175,65,1776,298
ZCTA5 22209,9194,711,390,370,309,365,0,20,309,365,101,79,208,301,81,62,347,195,346,195,0,20,346,195,252,147,94,144,1,3,875,266,734,248,0,20,734,248,564,153,170,159,141,80,7582,574,6894,559,34,30,6860,555,6600,549,260,74,688,222
ZCTA5 22211,261,113,6,9,0,13,0,13,0,13,0,13,0,13,6,9,43,55,38,55,38,55,0,13,0,13,0,13,5,8,108,74,82,60,63,58,19,13,19,13,0,13,26,43,104,60,94,58,82,57,12,8,12,8,0,13,10,10
ZCTA5 22213,2651,597,187,212,187,212,0,13,187,212,187,212,0,13,0,13,232,199,60,53,0,13,60,53,58,52,2,4,172,187,215,93,205,92,0,13,205,92,205,92,0,13,10,15,2017,366,1710,364,28,38,1682,352,1670,353,12,20,307,123
ZCTA5 22214,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22301,8320,473,137,70,110,66,0,20,110,66,110,66,0,20,27,23,261,95,173,85,0,20,173,85,166,83,7,14,88,59,672,146,589,130,8,14,581,128,560,127,21,22,83,52,7250,455,6656,399,289,109,6367,398,6295,395,72,52,594,193
ZCTA5 22302,11957,825,526,252,381,243,0,20,381,243,381,243,0,20,145,87,1097,420,926,412,0,20,926,412,919,413,7,11,171,67,1597,322,1415,324,6,10,1409,322,1248,261,161,161,182,108,8737,660,8129,666,103,60,8026,661,7803,636,223,199,608,158
ZCTA5 22303,9728,654,763,510,597,402,0,20,597,402,597,402,0,20,166,129,1090,306,913,247,14,22,899,247,829,231,70,85,177,104,1571,284,1438,281,74,46,1364,271,1329,270,35,37,133,60,6304,432,5937,445,257,120,5680,457,5510,438,170,164,367,104
ZCTA5 22304,30980,1182,2159,580,1676,531,0,27,1676,531,1393,367,283,239,483,179,3690,609,3048,582,34,41,3014,587,2915,570,99,81,642,233,6635,733,5689,671,177,101,5512,667,5201,624,311,221,946,303,18496,1137,16927,1051,898,394,16029,1021,15665,1022,364,174,1569,371
ZCTA5 22305,11612,834,1669,312,1361,294,10,19,1351,292,1351,292,0,20,308,148,1495,331,1170,293,38,50,1132,299,1077,282,55,63,325,160,1611,327,1317,265,57,61,1260,265,1260,265,0,20,294,200,6837,583,6341,582,241,107,6100,586,6030,587,70,47,496,179
ZCTA5 22306,17825,1241,2854,589,2155,485,0,27,2155,485,2006,474,149,103,699,230,3756,726,2980,582,21,42,2959,580,2753,550,206,130,776,276,4032,750,3427,672,65,54,3362,676,3091,651,271,164,605,194,7183,632,6381,618,436,189,5945,612,5674,526,271,242,802,195
ZCTA5 22307,5389,472,233,125,197,131,0,20,197,131,189,131,8,12,36,33,337,137,256,121,0,20,256,121,239,102,17,30,81,47,1030,337,903,300,0,20,903,300,824,267,79,79,127,107,3789,327,3389,325,135,62,3254,318,3144,297,110,59,400,107
ZCTA5 22308,6200,469,120,127,82,117,0,20,82,117,82,117,0,20,38,44,367,101,247,78,0,20,247,78,233,76,14,20,120,55,656,138,454,119,0,20,454,119,454,119,0,20,202,75,5057,404,4363,369,233,86,4130,372,4040,354,90,62,694,157
ZCTA5 22309,19939,1211,2786,640,2524,612,0,27,2524,612,2524,612,0,27,262,129,4228,807,3329,687,0,27,3329,687,3126,650,203,166,899,280,4790,747,3725,609,63,57,3662,613,3377,539,285,231,1065,288,8135,846,7160,741,334,133,6826,708,6697,726,129,77,975,301
ZCTA5 22310,18001,955,1132,271,894,219,0,27,894,219,859,217,35,40,238,99,2233,473,1641,319,4,8,1637,320,1537,308,100,70,592,293,3458,434,3065,403,109,74,2956,410,2893,407,63,43,393,149,11178,746,10242,680,557,165,9685,664,9268,652,417,192,936,202
ZCTA5 22311,11977,816,1404,388,1036,276,0,20,1036,276,960,266,76,71,368,175,1427,374,1009,316,0,20,1009,316,979,310,30,44,418,240,3543,530,3293,534,54,42,3239,541,3212,543,27,30,250,99,5603,624,5017,568,49,44,4968,562,4868,492,100,125,586,220
ZCTA5 22312,18317,1171,2162,619,1835,582,7,11,1828,582,1749,574,79,109,327,159,3520,650,3109,608,0,27,3109,608,3047,587,62,60,411,165,3971,608,3112,563,29,45,3083,555,2969,544,114,94,859,218,8664,702,7932,689,201,115,7731,669,7570,651,161,96,732,254
ZCTA5 22314,23507,1003,491,204,248,137,0,27,248,137,214,129,34,48,243,125,1514,333,1131,280,30,41,1101,281,1025,269,76,56,383,146,2644,368,2089,328,81,79,2008,324,1949,324,59,40,555,183,18858,924,17207,894,741,190,16466,894,16170,873,296,95,1651,282
ZCTA5 22315,17197,847,511,234,345,192,0,24,345,192,345,192,0,24,166,107,1863,380,1404,369,24,30,1380,369,1285,368,95,58,459,128,3630,438,2807,349,129,78,2678,341,2578,342,100,71,823,215,11193,653,10157,640,478,136,9679,651,9535,652,144,93,1036,238
ZCTA5 22401,14402,140,1221,304,851,270,0,24,851,270,794,259,57,29,370,151,3059,476,2261,369,0,24,2261,369,2078,354,183,89,798,260,3747,462,3004,457,8,15,2996,458,2767,426,229,150,743,280,6375,546,5912,552,52,37,5860,555,5807,564,53,52,463,145
ZCTA5 22405,17062,988,673,215,463,179,0,27,463,179,449,179,14,18,210,93,4064,533,2943,454,0,27,2943,454,2903,454,40,33,1121,307,4704,563,3749,490,157,138,3592,471,3468,480,124,69,955,288,7621,662,6529,597,65,52,6464,596,6399,588,65,69,1092,234
ZCTA5 22406,13347,947,556,213,274,161,0,24,274,161,265,160,9,15,282,144,2930,544,2449,491,47,48,2402,496,2338,482,64,64,481,152,4677,817,3624,672,41,43,3583,680,3372,662,211,118,1053,277,5184,528,4541,481,97,63,4444,491,4352,502,92,65,643,162
ZCTA5 22407,30853,1170,2369,426,1629,367,0,30,1629,367,1575,358,54,41,740,194,9108,709,7053,636,55,49,6998,645,6572,617,426,218,2055,381,9617,912,7802,904,47,42,7755,904,7456,880,299,134,1815,286,9759,652,8469,638,29,22,8440,641,8154,625,286,113,1290,173
ZCTA5 22408,16798,796,1204,347,708,219,0,27,708,219,678,215,30,41,496,234,3470,502,2918,506,2,15,2916,507,2718,504,198,70,552,152,5162,516,4279,499,107,85,4172,485,4004,487,168,94,883,198,6962,492,6192,471,140,64,6052,474,5990,464,62,54,770,196
ZCTA5 22427,2253,673,150,54,82,36,0,18,82,36,82,36,0,18,68,44,777,258,583,237,145,189,438,173,394,170,44,41,194,89,660,236,451,188,62,124,389,134,389,134,0,18,209,148,666,533,663,533,281,543,382,169,382,169,0,18,3,5
ZCTA5 22432,132,174,0,13,0,13,0,13,0,13,0,13,0,13,0,13,132,174,64,85,0,13,64,85,64,85,0,13,68,90,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22433,215,148,0,13,0,13,0,13,0,13,0,13,0,13,0,13,123,90,112,84,0,13,112,84,112,84,0,13,11,19,92,84,92,84,0,13,92,84,92,84,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22435,1202,259,85,77,72,68,0,13,72,68,72,68,0,13,13,25,403,201,325,193,0,13,325,193,325,193,0,13,78,56,471,212,375,164,0,13,375,164,345,162,30,35,96,74,243,110,214,105,0,13,214,105,214,105,0,13,29,34
ZCTA5 22436,326,145,46,48,38,39,0,13,38,39,38,39,0,13,8,14,134,84,83,70,0,13,83,70,76,70,7,14,51,48,110,63,110,63,0,13,110,63,110,63,0,13,0,13,36,34,26,29,0,13,26,29,26,29,0,13,10,18
ZCTA5 22437,382,157,47,71,47,71,0,13,47,71,47,71,0,13,0,13,126,89,69,52,0,13,69,52,69,52,0,13,57,73,209,95,182,96,0,13,182,96,182,96,0,13,27,30,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22438,187,141,0,13,0,13,0,13,0,13,0,13,0,13,0,13,69,76,57,74,0,13,57,74,57,74,0,13,12,19,60,66,60,66,0,13,60,66,60,66,0,13,0,13,58,62,58,62,0,13,58,62,58,62,0,13,0,13
ZCTA5 22443,4191,309,556,185,342,157,0,18,342,157,253,126,89,83,214,125,1478,261,1085,221,120,126,965,211,840,213,125,125,393,162,1326,273,949,251,0,18,949,251,916,257,33,32,377,157,831,216,649,185,6,11,643,183,576,177,67,67,182,79
ZCTA5 22448,320,106,7,8,0,13,0,13,0,13,0,13,0,13,7,8,70,55,56,50,47,48,9,10,9,10,0,13,14,13,134,62,74,38,48,31,26,20,24,20,2,3,60,44,109,47,88,44,14,11,74,43,70,43,4,7,21,17
ZCTA5 22454,1043,218,183,85,81,65,0,13,81,65,81,65,0,13,102,78,276,96,242,90,0,13,242,90,220,80,22,33,34,30,471,150,167,85,0,13,167,85,167,85,0,13,304,119,113,86,64,55,0,13,64,55,64,55,0,13,49,63
ZCTA5 22460,609,215,33,27,23,25,0,13,23,25,23,25,0,13,10,11,196,86,159,87,0,13,159,87,159,87,0,13,37,33,171,91,152,88,0,13,152,88,152,88,0,13,19,24,209,137,135,90,0,13,135,90,135,90,0,13,74,90
ZCTA5 22469,971,256,155,70,0,13,0,13,0,13,0,13,0,13,155,70,483,201,139,77,0,13,139,77,139,77,0,13,344,190,155,94,71,50,0,13,71,50,71,50,0,13,84,75,178,138,178,138,0,13,178,138,178,138,0,13,0,13
ZCTA5 22473,1986,419,249,132,126,99,0,18,126,99,126,99,0,18,123,77,877,316,661,281,0,18,661,281,574,232,87,99,216,106,433,161,341,152,0,18,341,152,341,152,0,18,92,71,427,212,267,163,0,18,267,163,267,163,0,18,160,95
ZCTA5 22476,147,92,33,49,33,49,0,13,33,49,33,49,0,13,0,13,73,68,73,68,0,13,73,68,73,68,0,13,0,13,29,40,29,40,0,13,29,40,29,40,0,13,0,13,12,18,12,18,0,13,12,18,12,18,0,13,0,13
ZCTA5 22480,170,73,10,9,1,4,0,13,1,4,1,4,0,13,9,9,24,21,20,19,0,13,20,19,20,19,0,13,4,7,46,30,19,13,0,13,19,13,15,12,4,5,27,26,90,48,70,43,0,13,70,43,63,42,7,9,20,14
ZCTA5 22482,1495,284,63,42,59,43,0,13,59,43,48,43,11,21,4,12,411,148,262,123,0,13,262,123,246,119,16,20,149,81,618,197,431,160,0,13,431,160,403,147,28,42,187,93,403,141,255,99,0,13,255,99,255,99,0,13,148,105
ZCTA5 22485,13955,191,929,222,759,209,0,24,759,209,701,204,58,52,170,80,3608,380,2689,324,63,64,2626,317,2517,313,109,64,919,174,4383,364,3629,309,59,60,3570,311,3480,330,90,66,754,160,5035,463,4448,422,47,34,4401,427,4303,411,98,73,587,185
ZCTA5 22488,310,154,23,28,23,28,0,13,23,28,8,17,15,24,0,13,109,78,96,76,0,13,96,76,96,76,0,13,13,15,158,90,123,84,0,13,123,84,94,64,29,36,35,36,20,24,11,18,0,13,11,18,11,18,0,13,9,20
ZCTA5 22503,1707,281,234,144,53,45,0,13,53,45,53,45,0,13,181,129,580,244,490,233,0,13,490,233,221,98,269,225,90,62,465,140,362,120,0,13,362,120,362,120,0,13,103,77,428,144,332,110,0,13,332,110,326,109,6,11,96,60
ZCTA5 22504,20,30,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,16,11,16,0,13,11,16,11,16,0,13,0,13,4,11,4,11,0,13,4,11,4,11,0,13,0,13,5,7,5,7,0,13,5,7,5,7,0,13,0,13
ZCTA5 22508,7413,676,603,184,319,142,0,20,319,142,319,142,0,20,284,129,1905,371,1486,367,0,20,1486,367,1460,358,26,50,419,178,2747,453,1996,381,0,20,1996,381,1954,366,42,56,751,213,2158,510,1895,484,0,20,1895,484,1875,483,20,24,263,168
ZCTA5 22509,46,48,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,14,10,14,0,13,10,14,10,14,0,13,0,13,36,43,27,42,0,13,27,42,27,42,0,13,9,14,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22511,234,100,0,13,0,13,0,13,0,13,0,13,0,13,0,13,50,36,43,34,0,13,43,34,43,34,0,13,7,12,113,78,54,54,0,13,54,54,54,54,0,13,59,51,71,57,64,50,0,13,64,50,64,50,0,13,7,12
ZCTA5 22514,1135,228,118,73,64,37,0,13,64,37,64,37,0,13,54,59,326,112,260,92,0,13,260,92,227,84,33,35,66,45,347,103,299,94,0,13,299,94,281,92,18,19,48,36,344,121,278,119,0,13,278,119,278,119,0,13,66,38
ZCTA5 22520,3084,388,418,183,175,106,0,18,175,106,156,106,19,28,243,122,1099,240,951,210,0,18,951,210,733,189,218,86,148,104,936,226,817,209,0,18,817,209,679,195,138,104,119,77,631,189,517,155,0,18,517,155,472,148,45,51,114,95
ZCTA5 22529,11,26,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,7,16,0,13,0,13,0,13,0,13,0,13,7,16,4,10,4,10,0,13,4,10,4,10,0,13,0,13
ZCTA5 22530,129,129,0,13,0,13,0,13,0,13,0,13,0,13,0,13,33,53,0,13,0,13,0,13,0,13,0,13,33,53,0,13,0,13,0,13,0,13,0,13,0,13,0,13,96,95,66,81,0,13,66,81,66,81,0,13,30,47
ZCTA5 22534,1455,291,194,88,135,72,0,13,135,72,126,70,9,15,59,35,724,209,451,128,0,13,451,128,442,124,9,16,273,143,344,118,315,118,0,13,315,118,291,116,24,28,29,33,193,82,158,72,0,13,158,72,140,71,18,21,35,32
ZCTA5 22535,169,91,21,32,21,32,0,13,21,32,21,32,0,13,0,13,69,41,45,32,0,13,45,32,45,32,0,13,24,26,31,26,31,26,0,13,31,26,31,26,0,13,0,13,48,50,48,50,0,13,48,50,48,50,0,13,0,13
ZCTA5 22538,117,89,67,56,67,56,0,13,67,56,67,56,0,13,0,13,28,33,5,10,0,13,5,10,5,10,0,13,23,32,22,35,22,35,0,13,22,35,22,35,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
ZCTA5 22539,783,254,45,56,0,13,0,13,0,13,0,13,0,13,45,56,133,108,93,101,0,13,93,101,53,61,40,45,40,43,236,124,182,135,0,13,182,135,182,135,0,13,54,53,369,201,265,164,0,13,265,164,265,164,0,13,104,118
ZCTA5 22542,1031,353,83,78,83,78,0,13,83,78,83,78,0,13,0,13,520,258,458,266,0,13,458,266,458,266,0,13,62,58,265,126,210,108,0,13,210,108,184,104,26,30,55,51,163,87,74,51,0,13,74,51,61,49,13,24,89,72
ZCTA5 22546,8498,802,430,203,221,132,0,20,221,132,203,132,18,30,209,153,3274,491,2783,476,0,20,2783,476,2738,465,45,59,491,165,2925,496,2534,475,8,14,2526,474,2520,472,6,10,391,153,1869,419,1576,401,19,29,1557,395,1520,397,37,53,293,166
ZCTA5 22548,124,162,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,72,111,0,13,0,13,0,13,0,13,0,13,72,111,52,59,52,59,0,13,52,59,52,59,0,13,0,13
ZCTA5 22551,10531,673,1201,324,651,210,0,24,651,210,591,192,60,60,550,204,3319,493,2358,388,0,24,2358,388,2286,378,72,49,961,247,3278,379,2558,333,35,34,2523,328,2417,323,106,81,720,140,2733,331,2190,275,0,24,2190,275,2146,268,44,36,543,198
