Label (Grouping),Total
    ZCTA5 23456,"59,454"
ZCTA5 23457,
    ZCTA5 23457,"4,481"
ZCTA5 23459,
    ZCTA5 23459,"1,055"
ZCTA5 23460,
    ZCTA5 23460,"1,227"
ZCTA5 23461,
    ZCTA5 23461,603
ZCTA5 23462,
    ZCTA5 23462,"68,045"
ZCTA5 23464,
    ZCTA5 23464,"75,118"
ZCTA5 23480,
    ZCTA5 23480,331
ZCTA5 23486,
    ZCTA5 23486,148
ZCTA5 23487,
    ZCTA5 23487,"6,397"
ZCTA5 23488,
    ZCTA5 23488,173
ZCTA5 23502,
    ZCTA5 23502,"20,547"
ZCTA5 23503,
    ZCTA5 23503,"31,932"
ZCTA5 23504,
    ZCTA5 23504,"22,465"
ZCTA5 23505,
    ZCTA5 23505,"27,785"
ZCTA5 23507,
    ZCTA5 23507,"6,460"
ZCTA5 23508,
    ZCTA5 23508,"20,485"
ZCTA5 23509,
    ZCTA5 23509,"12,963"
ZCTA5 23510,
    ZCTA5 23510,"8,778"
ZCTA5 23511,
    ZCTA5 23511,"12,831"
ZCTA5 23513,
    ZCTA5 23513,"29,105"
ZCTA5 23517,
    ZCTA5 23517,"5,237"
ZCTA5 23518,
    ZCTA5 23518,"30,278"
ZCTA5 23523,
    ZCTA5 23523,"7,061"
ZCTA5 23551,
    ZCTA5 23551,"2,054"
ZCTA5 23601,
    ZCTA5 23601,"25,729"
ZCTA5 23602,
    ZCTA5 23602,"42,004"
ZCTA5 23603,
    ZCTA5 23603,"3,526"
ZCTA5 23604,
    ZCTA5 23604,"5,160"
ZCTA5 23605,
    ZCTA5 23605,"14,053"
ZCTA5 23606,
    ZCTA5 23606,"31,684"
ZCTA5 23607,
    ZCTA5 23607,"23,498"
ZCTA5 23608,
    ZCTA5 23608,"43,943"
ZCTA5 23651,
    ZCTA5 23651,494
ZCTA5 23661,
    ZCTA5 23661,"13,771"
ZCTA5 23662,
    ZCTA5 23662,"12,460"
ZCTA5 23663,
    ZCTA5 23663,"13,374"
ZCTA5 23664,
    ZCTA5 23664,"10,301"
ZCTA5 23665,
    ZCTA5 23665,"5,935"
ZCTA5 23666,
    ZCTA5 23666,"52,845"
ZCTA5 23667,
    ZCTA5 23667,80
ZCTA5 23668,
    ZCTA5 23668,739
ZCTA5 23669,
    ZCTA5 23669,"41,030"
ZCTA5 23681,
    ZCTA5 23681,0
ZCTA5 23690,
    ZCTA5 23690,"3,937"
ZCTA5 23691,
    ZCTA5 23691,577
ZCTA5 23692,
    ZCTA5 23692,"19,539"
