ZIP,Total Employed Civillians Above 16,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations"
23225,23459,10086,5173,4201,1500,2499
23226,9693,6275,871,1735,460,352
23227,13336,5361,2214,3401,600,1760
23228,20454,6844,4591,4599,1704,2716
23229,17585,8595,2653,4624,960,753
23230,4430,2062,768,919,207,474
23231,19958,6920,3555,4597,1552,3334
23233,16533,11067,1452,2897,539,578
23234,21313,5522,4378,4635,2845,3933
23235,17112,8907,2033,3092,1380,1700
23236,13044,5843,1818,3117,946,1320
23237,13552,3921,2196,3045,2464,1926
23238,13764,7289,1906,2925,622,1022
23250,0,0,0,0,0,0
23294,10731,4804,1672,2100,913,1242
23301,743,164,136,56,126,261
23302,38,38,0,0,0,0
23303,158,35,52,14,3,54
23304,0,0,0,0,0,0
23306,543,164,124,151,59,45
23307,274,45,89,44,6,90
23308,940,158,212,107,219,244
23310,1644,653,210,367,241,173
23314,4385,1942,947,602,486,408
23315,543,224,63,88,54,114
23316,224,14,116,13,73,8
23320,29462,12763,4746,6196,3054,2703
23321,16765,7187,2108,4027,1180,2263
23322,29062,15404,3431,5985,2047,2195
23323,18792,6909,3323,3969,2577,2014
23324,9546,2429,2128,2058,1144,1787
23325,8738,3166,1229,2104,1433,806
23336,1177,348,207,317,113,192
23337,176,130,0,0,46,0
23347,434,105,146,83,75,25
23350,1312,423,287,288,136,178
23354,83,55,12,16,0,0
23356,470,255,55,94,47,19
23357,350,59,169,43,25,54
23358,79,23,0,56,0,0
23359,529,66,37,170,171,85
23389,159,47,43,0,69,0
23395,77,52,0,0,0,25
23398,17,7,0,0,10,0
23401,90,21,12,35,7,15
23405,372,89,87,146,50,0
23407,432,60,39,51,145,137
23408,48,0,0,48,0,0
23409,34,20,0,8,6,0
23410,746,296,135,199,29,87
23413,313,89,27,60,102,35
23414,156,0,0,0,0,156
23415,755,130,96,237,100,192
23416,32,18,3,0,11,0
23417,1383,482,219,307,96,279
23418,375,215,56,38,8,58
23420,1213,311,166,155,130,451
23421,1531,266,206,464,252,343
23422,14,14,0,0,0,0
23423,133,37,10,6,32,48
23426,0,0,0,0,0,0
23427,114,22,8,23,57,4
23430,8769,3546,1108,1831,1083,1201
23432,763,391,70,103,72,127
23433,521,339,29,64,37,52
23434,21907,7857,3842,4365,2083,3760
23435,16924,7366,2666,3983,1177,1732
23436,549,286,71,107,64,21
23437,2162,673,372,509,291,317
23438,796,359,94,189,51,103
23440,244,65,64,24,52,39
23441,40,0,0,21,19,0
23442,446,98,41,50,5,252
23451,21259,10693,2804,4858,1604,1300
23452,28707,11405,4499,6187,3152,3464
23453,17391,6123,4277,3580,1508,1903
23454,29214,12561,5207,7262,2160,2024
23455,24212,10491,3790,5278,2680,1973
23456,27781,13919,3499,6345,1606,2412
23457,2144,980,317,418,213,216
23459,197,87,62,40,0,8
23460,86,0,26,9,41,10
23461,0,0,0,0,0,0
23462,34164,11970,6918,8817,2945,3514
23464,38061,17327,5745,8561,2694,3734
23480,113,30,14,51,10,8
23486,0,0,0,0,0,0
23487,2862,1131,530,434,367,400
23488,337,44,0,0,28,265
23502,10699,3571,2258,2197,1017,1656
23503,15311,4826,2847,3636,2253,1749
23504,9510,2271,2766,2279,533,1661
23505,11548,4225,2124,2948,840,1411
23507,3391,2378,356,507,61,89
23508,9816,4055,2326,2251,341,843
23509,6355,2243,1173,1649,688,602
23510,3734,2059,890,591,38,156
23511,160,92,1,35,32,0
23513,14776,4176,3149,3239,1835,2377
23517,2313,1148,625,344,78,118
23518,13719,5341,2674,2422,1430,1852
23523,2848,919,794,496,221,418
23551,0,0,0,0,0,0
23601,12113,4416,1824,2796,1079,1998
23602,20167,8046,3569,4233,1809,2510
23603,1526,532,332,320,24,318
23604,466,179,67,133,46,41
23605,6111,1343,1317,1311,790,1350
23606,13659,5842,2471,2900,1189,1257
23607,9675,2240,2550,1819,1276,1790
23608,19595,6591,3964,4135,1881,3024
23651,155,101,6,27,0,21
23661,5821,2150,1105,1047,516,1003
23662,5990,3000,645,1150,536,659
23663,6501,1651,1571,1524,829,926
23664,4791,1878,775,997,625,516
23665,1263,434,273,290,178,88
23666,25679,9541,5096,4849,2225,3968
23669,17004,6271,3161,3871,1436,2265
23690,1748,724,273,435,90,226
23691,0,0,0,0,0,0
23692,7820,4415,750,1485,709,461
23693,11242,6452,1299,2134,747,610
23696,1905,1099,153,341,192,120
23701,9882,2443,2043,2094,1371,1931
23702,5214,1305,985,983,817,1124
23703,12513,4333,2272,3019,1348,1541
23704,7208,2823,1849,1213,548,775
23707,6237,1796,1341,1539,892,669
23708,5,5,0,0,0,0
23709,0,0,0,0,0,0
23801,1215,595,381,142,59,38
23803,16350,4400,3761,3390,1400,3399
23805,9472,2980,1814,1937,664,2077
23821,794,171,158,151,113,201
23824,2579,613,558,581,329,498
23827,757,223,170,135,98,131
23828,220,91,36,20,41,32
23829,546,196,57,120,70,103
23830,750,374,102,128,42,104
23831,18115,7711,2834,3989,1460,2121
23832,19189,7704,2964,4548,1624,2349
23833,1125,199,168,176,289,293
23834,13056,4396,2202,3238,1132,2088
23836,6138,2760,951,1335,305,787
23837,1863,581,567,252,108,355
23838,8120,4024,918,1787,644,747
23839,520,103,66,82,124,145
23840,1170,198,334,291,86,261
23841,1438,464,152,377,78,367
23842,3544,1245,530,823,362,584
23843,129,9,0,38,13,69
23844,367,130,183,24,0,30
23845,212,0,14,26,109,63
23846,357,91,19,81,80,86
23847,5445,1224,1323,1024,441,1433
23850,455,178,40,70,69,98
23851,5617,1508,1429,1031,558,1091
23856,515,141,132,88,31,123
23857,357,100,33,150,74,0
23860,11294,3326,1950,2705,966,2347
23866,818,367,118,175,56,102
23867,874,234,279,183,61,117
23868,2141,635,435,356,167,548
23872,1229,330,166,269,94,370
23874,399,137,56,100,38,68
23875,6232,2401,966,1653,601,611
23876,136,22,40,34,32,8
23878,743,331,97,140,82,93
23879,286,99,96,52,13,26
23881,825,168,221,143,159,134
23882,819,217,80,221,44,257
23883,1001,299,176,113,173,240
23884,0,0,0,0,0,0
23885,1037,513,120,158,133,113
23887,65,23,34,0,0,8
23888,1180,252,412,148,172,196
23889,248,7,32,96,24,89
23890,2216,835,386,250,308,437
23891,0,0,0,0,0,0
23893,124,52,33,0,39,0
23894,406,182,0,40,106,78
23897,155,50,43,43,19,0
23898,1039,363,281,125,191,79
23899,143,62,25,29,14,13
23901,7092,2228,1734,1540,699,891
23909,102,12,39,45,0,6
23915,265,86,18,87,28,46
23917,1209,259,247,227,158,318
23919,876,387,114,132,141,102
23920,1366,255,152,325,115,519
23921,534,209,84,146,52,43
23922,979,396,171,192,141,79
23923,941,290,177,243,137,94
23924,2650,951,514,437,164,584
23927,1616,676,273,364,118,185
23930,2111,798,363,428,290,232
23934,183,27,68,47,41,0
23936,2842,672,581,559,643,387
23937,779,144,261,109,70,195
23938,128,63,0,9,31,25
23942,687,153,226,138,45,125
23943,8,0,3,2,3,0
23944,1310,423,264,276,37,310
23947,1466,369,386,271,96,344
23950,1391,279,399,313,137,263
23952,101,51,0,0,43,7
23954,948,208,218,142,200,180
23958,1024,287,199,265,147,126
23959,642,234,70,102,145,91
23960,1165,161,436,432,49,87
23962,193,39,45,55,10,44
23963,65,16,0,8,0,41
23964,494,179,79,45,93,98
23966,881,288,274,166,18,135
23967,588,139,129,92,88,140
23968,262,96,66,48,27,25
23970,3823,1440,680,524,319,860
23974,1831,388,262,382,365,434
23976,0,0,0,0,0,0
24011,501,331,47,92,19,12
24012,14273,3809,2636,3760,1508,2560
24013,3512,557,804,1147,327,677
24014,7606,3202,876,2034,504,990
24015,8055,3664,1372,1885,310,824
24016,4415,1473,1444,752,79,667
24017,10420,2050,3174,2023,997,2176
24018,18895,10542,2179,3928,983,1263
24019,13875,5338,1655,3425,916,2541
24020,219,115,39,65,0,0
24053,1354,186,272,144,485,267
24054,2694,649,399,570,305,771
24055,4093,1157,620,1121,362,833
24058,106,51,14,0,27,14
24059,468,143,41,183,39,62
24060,24632,13379,4781,4228,625,1619
24064,2514,976,326,743,156,313
24065,2899,1162,522,373,461,381
24066,2403,706,393,610,207,487
24067,1289,567,177,218,97,230
24069,681,171,148,66,55,241
24070,874,350,124,87,35,278
24072,693,189,64,209,88,143
24073,15170,7203,1963,2691,1538,1775
24076,495,63,138,89,117,88
24077,397,175,42,89,8,83
24078,3022,984,509,701,392,436
24079,875,336,67,82,167,223
24082,202,57,48,50,26,21
24083,1283,731,20,266,90,176
24084,4374,1496,719,996,438,725
24085,992,239,181,162,239,171
24086,41,7,0,5,0,29
24087,1919,796,596,255,70,202
24088,2037,706,363,515,131,322
24089,1122,283,268,232,174,165
24090,2514,901,596,440,231,346
24091,3567,1434,476,432,429,796
24092,2034,396,672,366,221,379
24093,46,6,6,5,21,8
24095,2074,763,265,450,223,373
