ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher
23460,239,0,31,69,139
23461,84,0,32,32,20
23462,36569,2667,8348,14633,10921
23464,41812,2215,8782,15358,15457
23480,149,11,19,53,66
23486,19,0,19,0,0
23487,3081,319,882,1091,789
23488,636,0,541,28,67
23502,11701,1205,3329,3883,3284
23503,18989,1443,4861,7419,5266
23504,11030,2107,3375,3444,2104
23505,14813,1387,3099,5677,4650
23507,3702,93,155,687,2767
23508,7769,346,925,2198,4300
23509,7418,888,2025,2522,1983
23510,5516,558,1078,1259,2621
23511,3862,0,595,2198,1069
23513,17529,2330,5164,7033,3002
23517,2965,35,525,793,1612
23518,16847,1841,4043,5524,5439
23523,3595,619,1269,1249,458
23551,274,0,155,75,44
23601,14211,684,3378,5550,4599
23602,22516,1300,5935,7209,8072
23603,1816,128,300,811,577
23604,2303,46,506,1206,545
23605,7506,656,3126,2666,1058
23606,13116,877,3415,4218,4606
23607,11730,1734,4388,4152,1456
23608,22131,1506,5498,8810,6317
23651,174,7,10,45,112
23661,6954,410,2118,2708,1718
23662,6170,146,1315,1951,2758
23663,7411,734,2759,2940,978
23664,5584,192,1665,2071,1656
23665,2440,87,419,1042,892
23666,28067,2259,7526,10579,7703
23669,19329,1063,4956,7288,6022
23690,2128,139,409,747,833
23691,48,0,14,22,12
23692,9441,298,1296,3059,4788
23693,13018,461,1603,3118,7836
23696,2111,61,522,748,780
23701,12349,1107,3924,5166,2152
23702,6723,669,2480,2693,881
23703,13800,899,3587,5548,3766
23704,9579,998,2999,3675,1907
23707,7253,779,1829,3051,1594
23708,74,0,16,38,20
23709,0,0,0,0,0
23801,2780,136,324,1415,905
23803,20290,3084,7472,5812,3922
23805,10210,793,3436,3966,2015
23821,1158,178,438,318,224
23824,2603,461,1064,650,428
23827,856,68,314,268,206
23828,255,12,82,76,85
23829,1724,364,760,420,180
23830,729,41,217,234,237
23831,19186,1285,4607,6040,7254
23832,20679,1170,5029,7285,7195
23833,1413,64,644,572,133
23834,13750,1090,4058,4930,3672
23836,7187,479,1545,2150,3013
23837,2131,311,596,840,384
23838,8711,391,1968,2638,3714
23839,618,33,300,187,98
23840,1191,241,351,474,125
23841,1422,72,601,281,468
23842,4026,363,1308,1435,920
23843,151,23,59,65,4
23844,399,31,123,194,51
23845,115,0,108,0,7
23846,310,60,175,47,28
23847,9092,1922,3740,2609,821
23850,480,119,125,197,39
23851,6417,761,1929,2577,1150
23856,553,112,170,183,88
23857,425,65,126,54,180
23860,16867,2112,6343,6158,2254
23866,958,45,262,430,221
23867,1037,99,332,370,236
23868,3815,668,1597,1163,387
23872,1386,93,584,489,220
23874,442,29,121,204,88
23875,6398,508,1465,2355,2070
23876,142,16,72,8,46
23878,793,96,241,257,199
23879,314,52,114,114,34
23881,1084,66,564,280,174
23882,826,127,345,188,166
23883,1227,139,382,437,269
23884,30,15,9,6,0
23885,1376,137,486,415,338
23887,85,0,42,23,20
23888,1036,84,406,341,205
23889,326,145,41,133,7
23890,2286,249,830,649,558
23891,1583,500,833,223,27
23893,125,0,43,82,0
23894,386,96,171,5,114
23897,234,15,84,129,6
23898,1033,47,278,470,238
23899,206,5,86,69,46
23901,7458,1053,2086,2106,2213
23909,0,0,0,0,0
23915,826,128,392,273,33
23917,1589,166,639,477,307
23919,966,30,319,349,268
23920,1625,408,531,391,295
23921,697,53,319,196,129
23922,2807,591,1134,821,261
23923,1172,173,472,355,172
23924,3123,427,1109,942,645
23927,1867,159,287,681,740
23930,2873,272,1093,906,602
23934,216,3,45,128,40
23936,4673,791,2091,1292,499
23937,982,129,494,322,37
23938,128,16,27,69,16
23942,647,123,148,323,53
23943,0,0,0,0,0
23944,1340,143,592,365,240
23947,1791,223,684,488,396
23950,1874,438,766,517,153
23952,147,0,50,92,5
23954,1068,159,409,395,105
23958,1490,140,631,412,307
23959,707,30,153,422,102
23960,1253,113,639,313,188
23962,305,50,76,117,62
23963,57,16,34,7,0
23964,619,112,131,250,126
23966,862,41,185,315,321
23967,616,58,270,237,51
23968,246,51,29,68,98
23970,4032,453,1180,1234,1165
23974,3092,568,1494,734,296
23976,19,0,11,8,0
24011,384,6,21,28,329
24012,16230,1970,5915,5156,3189
24013,4248,704,2000,1051,493
24014,8365,659,2575,2236,2895
24015,8469,313,1811,2712,3633
24016,5131,740,1669,1354,1368
24017,12154,1627,5266,3308,1953
24018,19645,611,3374,5301,10359
24019,14411,527,3944,4743,5197
24020,42,0,0,0,42
24053,1559,365,638,426,130
24054,3426,455,1486,1194,291
24055,5655,1004,1611,2159,881
24058,94,23,28,43,0
24059,422,0,80,219,123
24060,19582,663,2756,2893,13270
24064,2673,118,858,993,704
24065,3454,191,1273,1148,842
24066,2446,274,982,701,489
24067,1235,26,425,531,253
24069,830,51,311,388,80
24070,987,61,368,368,190
24072,747,36,148,347,216
24073,16836,976,4190,5097,6573
24076,673,135,98,341,99
24077,398,0,127,101,170
24078,3577,385,1163,1110,919
24079,863,0,465,182,216
24082,249,27,73,77,72
24083,1402,3,284,550,565
24084,6134,524,2326,2157,1127
24085,1217,60,654,374,129
24086,50,0,20,23,7
24087,2097,354,753,635,355
24088,2056,384,828,488,356
24089,1777,304,784,623,66
24090,2612,90,986,850,686
24091,3804,214,1271,1321,998
24092,1947,97,844,621,385
24093,68,26,18,23,1
24095,2351,143,780,934,494
24101,3341,205,1325,1054,757
24102,749,87,190,158,314
24104,1584,42,614,479,449
24105,226,0,120,90,16
24112,14199,1930,4349,5151,2769
24120,680,63,336,178,103
24121,4779,348,1700,1504,1227
24122,899,92,475,257,75
24124,2193,199,827,832,335
24127,2202,158,1010,666,368
24128,1046,29,403,265,349
24131,0,0,0,0,0
24132,124,45,16,8,55
24133,997,184,335,373,105
24134,2663,265,783,1060,555
24136,1686,135,678,456,417
24137,1486,118,508,605,255
24138,1056,53,382,425,196
24139,142,27,47,68,0
24141,10702,691,2333,3241,4437
24142,11,0,0,11,0
24147,631,21,211,222,177
24148,4170,458,1402,1477,833
24149,2125,80,754,720,571
24150,538,53,22,349,114
24151,10124,1051,3704,3430,1939
24153,19075,1530,5289,6557,5699
24161,180,58,62,47,13
24162,1621,142,820,516,143
24165,655,78,288,251,38
24167,87,0,78,9,0
24168,120,75,28,17,0
