ZIP,Total in Working Age,Less than high school graduate,Less than high school graduate~In labor force,Less than high school graduate~In labor force~In Armed Forces,Less than high school graduate~In labor force~Civilian,Less than high school graduate~In labor force~Civilian~Employed,Less than high school graduate~In labor force~Civilian~Unemployed,Less than high school graduate~Not in labor force,High school graduate (includes equivalency),High school graduate (includes equivalency)~In labor force,High school graduate (includes equivalency)~In labor force~In Armed Forces,High school graduate (includes equivalency)~In labor force~Civilian,High school graduate (includes equivalency)~In labor force~Civilian~Employed,High school graduate (includes equivalency)~In labor force~Civilian~Unemployed,High school graduate (includes equivalency)~Not in labor force,Some college or associate's degree,Some college or associate's degree~In labor force,Some college or associate's degree~In labor force~In Armed Forces,Some college or associate's degree~In labor force~Civilian,Some college or associate's degree~In labor force~Civilian~Employed,Some college or associate's degree~In labor force~Civilian~Unemployed,Some college or associate's degree~Not in labor force,Bachelor's degree or higher,Bachelor's degree or higher~In labor force,Bachelor's degree or higher~In labor force~In Armed Forces,Bachelor's degree or higher~In labor force~Civilian,Bachelor's degree or higher~In labor force~Civilian~Employed,Bachelor's degree or higher~In labor force~Civilian~Unemployed,Bachelor's degree or higher~Not in labor force
22309,19939,2786,2524,0,2524,2524,0,262,4228,3329,0,3329,3126,203,899,4790,3725,63,3662,3377,285,1065,8135,7160,334,6826,6697,129,975
22310,18001,1132,894,0,894,859,35,238,2233,1641,4,1637,1537,100,592,3458,3065,109,2956,2893,63,393,11178,10242,557,9685,9268,417,936
22311,11977,1404,1036,0,1036,960,76,368,1427,1009,0,1009,979,30,418,3543,3293,54,3239,3212,27,250,5603,5017,49,4968,4868,100,586
22312,18317,2162,1835,7,1828,1749,79,327,3520,3109,0,3109,3047,62,411,3971,3112,29,3083,2969,114,859,8664,7932,201,7731,7570,161,732
22314,23507,491,248,0,248,214,34,243,1514,1131,30,1101,1025,76,383,2644,2089,81,2008,1949,59,555,18858,17207,741,16466,16170,296,1651
22315,17197,511,345,0,345,345,0,166,1863,1404,24,1380,1285,95,459,3630,2807,129,2678,2578,100,823,11193,10157,478,9679,9535,144,1036
22401,14402,1221,851,0,851,794,57,370,3059,2261,0,2261,2078,183,798,3747,3004,8,2996,2767,229,743,6375,5912,52,5860,5807,53,463
22405,17062,673,463,0,463,449,14,210,4064,2943,0,2943,2903,40,1121,4704,3749,157,3592,3468,124,955,7621,6529,65,6464,6399,65,1092
22406,13347,556,274,0,274,265,9,282,2930,2449,47,2402,2338,64,481,4677,3624,41,3583,3372,211,1053,5184,4541,97,4444,4352,92,643
22407,30853,2369,1629,0,1629,1575,54,740,9108,7053,55,6998,6572,426,2055,9617,7802,47,7755,7456,299,1815,9759,8469,29,8440,8154,286,1290
22408,16798,1204,708,0,708,678,30,496,3470,2918,2,2916,2718,198,552,5162,4279,107,4172,4004,168,883,6962,6192,140,6052,5990,62,770
22427,2253,150,82,0,82,82,0,68,777,583,145,438,394,44,194,660,451,62,389,389,0,209,666,663,281,382,382,0,3
22432,132,0,0,0,0,0,0,0,132,64,0,64,64,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22433,215,0,0,0,0,0,0,0,123,112,0,112,112,0,11,92,92,0,92,92,0,0,0,0,0,0,0,0,0
22435,1202,85,72,0,72,72,0,13,403,325,0,325,325,0,78,471,375,0,375,345,30,96,243,214,0,214,214,0,29
22436,326,46,38,0,38,38,0,8,134,83,0,83,76,7,51,110,110,0,110,110,0,0,36,26,0,26,26,0,10
22437,382,47,47,0,47,47,0,0,126,69,0,69,69,0,57,209,182,0,182,182,0,27,0,0,0,0,0,0,0
22438,187,0,0,0,0,0,0,0,69,57,0,57,57,0,12,60,60,0,60,60,0,0,58,58,0,58,58,0,0
22443,4191,556,342,0,342,253,89,214,1478,1085,120,965,840,125,393,1326,949,0,949,916,33,377,831,649,6,643,576,67,182
22448,320,7,0,0,0,0,0,7,70,56,47,9,9,0,14,134,74,48,26,24,2,60,109,88,14,74,70,4,21
22454,1043,183,81,0,81,81,0,102,276,242,0,242,220,22,34,471,167,0,167,167,0,304,113,64,0,64,64,0,49
22460,609,33,23,0,23,23,0,10,196,159,0,159,159,0,37,171,152,0,152,152,0,19,209,135,0,135,135,0,74
22469,971,155,0,0,0,0,0,155,483,139,0,139,139,0,344,155,71,0,71,71,0,84,178,178,0,178,178,0,0
