ZIP,Total in Working Age,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Cluster
23294,10883,752,2005,2892,5234,2
23301,928,421,367,64,76,3
23302,38,0,0,22,16,0
23303,245,33,98,68,46,4
23304,0,0,0,0,0,2
23306,542,53,119,251,119,0
23307,325,69,172,84,0,4
23308,1021,189,440,293,99,4
23310,1930,281,497,545,607,4
23314,4792,169,1236,1807,1580,0
23315,733,82,230,327,94,0
23316,216,23,45,119,29,0
23320,34386,1804,7009,12000,13573,0
23321,18663,669,3827,7029,7138,0
23322,35418,1677,6452,12022,15267,0
23323,21210,1124,5173,8123,6790,0
23324,12076,1605,3795,4710,1966,4
23325,9432,718,2787,3415,2512,0
23336,1383,110,257,568,448,0
23337,213,33,64,11,105,2
23347,488,23,184,101,180,4
23350,1669,207,759,436,267,4
23354,98,7,7,12,72,2
23356,480,0,165,167,148,0
23357,339,37,158,99,45,4
23358,78,0,34,34,10,0
23359,766,42,498,140,86,1
23389,116,0,14,92,10,0
23395,52,0,52,0,0,1
23398,17,0,0,10,7,0
23401,135,31,50,36,18,4
23405,434,0,147,126,161,0
23407,493,280,49,92,72,3
23408,48,0,48,0,0,1
23409,52,5,47,0,0,1
23410,891,20,352,364,155,0
23413,317,47,146,77,47,4
23414,156,156,0,0,0,3
23415,947,160,461,246,80,4
23416,53,3,50,0,0,1
23417,1521,29,344,567,581,0
23418,440,29,132,116,163,0
23420,1497,340,621,399,137,4
23421,1845,373,709,534,229,4
23422,43,0,0,43,0,0
23423,147,27,26,67,27,0
23426,16,0,0,16,0,0
23427,155,21,75,49,10,4
23430,9658,800,2742,3096,3020,0
23432,812,10,223,298,281,0
23433,484,8,80,124,272,2
23434,26088,2779,7342,9441,6526,0
23435,17801,735,3649,6094,7323,0
23436,569,12,80,272,205,0
23437,2265,217,646,950,452,0
23438,822,30,280,321,191,0
23440,277,52,168,46,11,1
23441,40,0,21,19,0,0
23442,464,32,287,99,46,1
23451,22839,722,3499,6838,11780,2
23452,30856,1760,7075,12196,9825,0
23453,19029,1143,4245,7748,5893,0
23454,31763,1818,5587,11541,12817,0
23455,26813,1821,4839,8379,11774,2
23456,31942,1100,4569,12857,13416,0
23457,2506,93,713,986,714,0
23459,601,22,78,352,149,0
23460,239,0,31,69,139,2
23461,84,0,32,32,20,0
23462,36569,2667,8348,14633,10921,0
23464,41812,2215,8782,15358,15457,0
23480,149,11,19,53,66,0
23486,19,0,19,0,0,1
23487,3081,319,882,1091,789,0
23488,636,0,541,28,67,1
23502,11701,1205,3329,3883,3284,0
23503,18989,1443,4861,7419,5266,0
23504,11030,2107,3375,3444,2104,4
23505,14813,1387,3099,5677,4650,0
23507,3702,93,155,687,2767,2
23508,7769,346,925,2198,4300,2
23509,7418,888,2025,2522,1983,0
23510,5516,558,1078,1259,2621,2
23511,3862,0,595,2198,1069,0
23513,17529,2330,5164,7033,3002,0
23517,2965,35,525,793,1612,2
23518,16847,1841,4043,5524,5439,0
23523,3595,619,1269,1249,458,4
23551,274,0,155,75,44,1
23601,14211,684,3378,5550,4599,0
23602,22516,1300,5935,7209,8072,0
23603,1816,128,300,811,577,0
23604,2303,46,506,1206,545,0
23605,7506,656,3126,2666,1058,4
23606,13116,877,3415,4218,4606,0
23607,11730,1734,4388,4152,1456,4
23608,22131,1506,5498,8810,6317,0
23651,174,7,10,45,112,2
23661,6954,410,2118,2708,1718,0
23662,6170,146,1315,1951,2758,2
23663,7411,734,2759,2940,978,4
23664,5584,192,1665,2071,1656,0
23665,2440,87,419,1042,892,0
23666,28067,2259,7526,10579,7703,0
23669,19329,1063,4956,7288,6022,0
23690,2128,139,409,747,833,0
23691,48,0,14,22,12,0
23692,9441,298,1296,3059,4788,2
23693,13018,461,1603,3118,7836,2
23696,2111,61,522,748,780,0
23701,12349,1107,3924,5166,2152,0
23702,6723,669,2480,2693,881,4
23703,13800,899,3587,5548,3766,0
23704,9579,998,2999,3675,1907,0
23707,7253,779,1829,3051,1594,0
23708,74,0,16,38,20,0
23709,0,0,0,0,0,2
23801,2780,136,324,1415,905,0
23803,20290,3084,7472,5812,3922,4
23805,10210,793,3436,3966,2015,0
23821,1158,178,438,318,224,4
23824,2603,461,1064,650,428,4
23827,856,68,314,268,206,4
23828,255,12,82,76,85,0
23829,1724,364,760,420,180,4
23830,729,41,217,234,237,0
23831,19186,1285,4607,6040,7254,0
23832,20679,1170,5029,7285,7195,0
23833,1413,64,644,572,133,0
23834,13750,1090,4058,4930,3672,0
23836,7187,479,1545,2150,3013,0
23837,2131,311,596,840,384,4
23838,8711,391,1968,2638,3714,0
23839,618,33,300,187,98,4
23840,1191,241,351,474,125,4
23841,1422,72,601,281,468,4
23842,4026,363,1308,1435,920,0
23843,151,23,59,65,4,4
23844,399,31,123,194,51,0
23845,115,0,108,0,7,1
23846,310,60,175,47,28,4
23847,9092,1922,3740,2609,821,4
23850,480,119,125,197,39,4
23851,6417,761,1929,2577,1150,0
23856,553,112,170,183,88,4
23857,425,65,126,54,180,2
23860,16867,2112,6343,6158,2254,4
23866,958,45,262,430,221,0
23867,1037,99,332,370,236,0
23868,3815,668,1597,1163,387,4
23872,1386,93,584,489,220,4
23874,442,29,121,204,88,0
23875,6398,508,1465,2355,2070,0
23876,142,16,72,8,46,1
23878,793,96,241,257,199,4
23879,314,52,114,114,34,4
23881,1084,66,564,280,174,4
23882,826,127,345,188,166,4
23883,1227,139,382,437,269,4
23884,30,15,9,6,0,3
23885,1376,137,486,415,338,4
23887,85,0,42,23,20,4
23888,1036,84,406,341,205,4
23889,326,145,41,133,7,3
23890,2286,249,830,649,558,4
23891,1583,500,833,223,27,3
23893,125,0,43,82,0,0
23894,386,96,171,5,114,4
23897,234,15,84,129,6,0
23898,1033,47,278,470,238,0
23899,206,5,86,69,46,0
23901,7458,1053,2086,2106,2213,4
23909,0,0,0,0,0,2
23915,826,128,392,273,33,4
23917,1589,166,639,477,307,4
23919,966,30,319,349,268,0
23920,1625,408,531,391,295,4
23921,697,53,319,196,129,4
23922,2807,591,1134,821,261,4
23923,1172,173,472,355,172,4
23924,3123,427,1109,942,645,4
23927,1867,159,287,681,740,0
23930,2873,272,1093,906,602,4
23934,216,3,45,128,40,0
23936,4673,791,2091,1292,499,4
23937,982,129,494,322,37,4
23938,128,16,27,69,16,0
23942,647,123,148,323,53,0
23943,0,0,0,0,0,2
23944,1340,143,592,365,240,4
23947,1791,223,684,488,396,4
23950,1874,438,766,517,153,4
23952,147,0,50,92,5,0
23954,1068,159,409,395,105,4
