ZIP,Population_log_ratio,Under 5 years_log_ratio,5 to 9 years_log_ratio,10 to 14 years_log_ratio,15 to 19 years_log_ratio,20 to 24 years_log_ratio,25 to 29 years_log_ratio,30 to 34 years_log_ratio,35 to 39 years_log_ratio,40 to 44 years_log_ratio,45 to 49 years_log_ratio,50 to 54 years_log_ratio,55 to 59 years_log_ratio,60 to 64 years_log_ratio,65 to 69 years_log_ratio,70 to 74 years_log_ratio,75 to 79 years_log_ratio,80 to 84 years_log_ratio,85 years and over_log_ratio,cluster,pca_1,pca_2,dist_to_centroid_0,dist_to_centroid_1,dist_to_centroid_2
24472,0.12220754195780525,0.0,-2.4849066497880004,0.6443570163905132,0.18805223150294026,-2.0794415416798357,1.0169342576538423,4.820281565605037,-2.3978952727983707,-0.3136575588550419,-0.7621400520468968,1.3516088031320006,-0.20585205420414798,-0.10821358464023234,-0.06575137756278071,0.5322168137473082,-3.8066624897703196,4.574710978503383,0.307484699747961,1,0.22077688718615585,-2.356967763119536,7.558461800935035,6.931962816447391,8.91942482898061
24473,-0.2157867130885016,-2.8903717578961645,0.5877866649021191,1.3350010667323398,-0.20479441264601306,2.302585092994046,-3.8918202981106265,0.7563260821814768,0.0,-2.70805020110221,2.4849066497880004,-0.2578291093020999,-1.1192315758708453,-0.5705448584676129,0.0,0.03922071315328157,-0.13657553500575048,0.023530497410193973,-0.8979415932059585,0,-0.4667301749355519,1.636974137620911,5.049117179500029,5.588707187670437,8.686198226673037
24474,0.165365750647398,-0.6613984822453651,-1.0986122886681096,2.772588722239781,0.38946476676172326,0.0,-2.8903717578961645,0.6931471805599454,3.5553480614894135,-1.791759469228055,0.0,3.6635616461296463,3.8501476017100584,-3.784189633918261,-1.791759469228055,0.4769240720903096,0.0,-2.0794415416798357,-0.7419373447293771,1,1.0623542788996,1.8267667560923408,8.658401436403212,8.114614663282374,9.684475956345176
24476,-0.18698356989976617,0.0,-0.04255961441879608,2.772588722239781,0.0,0.0,-3.4339872044851463,3.295836866004329,0.0,0.0,0.0,0.3746934494414105,0.0,-0.5465437063680696,0.0,0.0,0.0,-2.772588722239781,-2.70805020110221,0,-0.18336495550219428,-0.004771234046525606,4.713953583919544,5.016719025356731,8.039296779510892
24477,-0.05253211794745383,-1.224806891228778,0.6273958029971647,0.19890391055026502,0.5919839428374596,0.34060447390612314,-0.31304928633020435,-0.06031979023352285,-1.1545574447625855,0.20651866534457408,-0.2180673982823489,0.11579185308980566,0.22078783762175025,-0.300965548164303,-0.180883742024327,0.3132153744569459,-0.2765584872331184,-0.545337676071135,0.33647223662121295,1,-0.20242037857438527,-0.3663266040808679,2.102330706386641,1.8965786650709127,6.576558253100602
24479,0.0678811426342607,1.395183308537137,-0.4657573383642841,3.332204510175204,3.912023005428146,2.0088239744658827,-5.384495062789089,0.8059426747052898,-0.17693070815907808,1.3862943611198908,1.4469189829363254,-0.55206858230004,-0.6768866596881651,-0.06559728248581287,0.3720491111883204,-0.055569851154810834,-3.4657359027997265,-2.1972245773362196,-0.055569851154810834,0,0.0549881186553457,-0.2392720910530173,6.586478179326744,7.078327700689326,9.320099682953119
24482,0.19118219900974864,0.03584613177313578,0.15283920422944774,-0.38711596943996707,1.134203233770812,-0.4700036292457357,0.8234517230143696,0.7080357930536954,0.3273473288442119,0.7811159535059025,0.7489909167760382,0.4118143357868238,-0.2527658073455532,0.06826797112900262,0.24567266437423818,0.2373281863061667,0.26415157504158726,-1.192138346678933,-3.7376696182833684,1,0.9570368785722086,0.10710227882803848,3.4020447835167342,3.015999962272784,5.943257428939172
24483,0.29456441207472217,0.7949298748698879,3.9512437185814275,-3.4011973816621555,0.0,0.5959834321062978,-0.6592456288842641,0.24116205681688774,-2.3978952727983707,-1.836211231798889,0.42985656123232374,-0.3022808718729335,4.343805421853684,-3.1780538303479458,3.6109179126442243,3.4011973816621555,0.0,0.0,-2.9444389791664403,0,1.8746835032993105,4.592569342502431,8.656067316582456,8.994531032609274,10.240549011558585
24484,-0.04301738508369102,2.3978952727983707,-0.802346472524937,0.0,-3.6109179126442243,-3.091042453358316,0.534082485930258,0.14953173397096364,1.6094379124341003,0.0,0.19290366612449183,3.2188758248682006,-2.772588722239781,0.5780778507751583,-2.772588722239781,0.0,2.6390573296152584,0.6359887667199966,0.1466034741918758,1,-1.1485990684982281,-1.5601108234009642,7.675392233971002,6.664763583177391,9.64795835239705
24485,-0.19223601385113298,-3.2188758248682006,-2.9444389791664403,0.0,2.3978952727983707,-2.3978952727983707,0.0,0.0,-3.044522437723423,3.044522437723423,-1.1631508098056806,0.6061358035703157,0.0,0.6931471805599454,-0.5465437063680696,-0.8754687373538999,2.70805020110221,0.5306282510621703,0.0,0,-0.7060989240480325,-2.6996017510631765,6.179894563996644,6.343169603745906,8.997997118584763
24486,0.13041995148338614,0.15415067982725894,0.4092892045465675,-0.09333193979221921,0.04255961441879563,5.37989735354046,0.8437200390393205,-0.039740328649513934,-0.256719846847814,-0.004597709248629123,0.21029540883636066,-1.7735771501448645,0.33877373360949203,-0.9116287187683434,0.42121346507630353,0.16799173123912947,-0.17435338714477755,1.5404450409471488,-1.1349799328389842,0,1.2634363605735577,1.308904138467666,4.306552471789908,4.6086726300038485,6.809975664785529
24487,0.03674954220874138,0.0,2.70805020110221,0.0,0.0,-3.332204510175204,2.833213344056216,-0.16705408466316607,0.0,0.0,0.0,-2.8903717578961645,-2.5649493574615367,0.08576682175742523,0.594707107746693,0.0,0.14842000511827358,2.70805020110221,0.0,1,-1.2132117744348447,-0.6949148722844043,6.254364593888613,5.5692795748937325,9.07804239120432
24501,-0.11136180068777612,0.11211729812070637,0.037203415218271196,0.33910098708948055,-0.2032727574809563,-0.12210269680089958,0.14630325760479845,0.20617801715591355,-0.26682823616857565,0.0029282597790878384,-0.020741484306816993,-0.34515850187717323,-0.23040457555125649,-0.12212068451529134,-0.4246884330336931,-0.5150273106196908,-0.5589749676635734,-1.0125376798968668,-1.1631508098056802,1,-0.49015152970930886,-0.006205575354474729,2.128371573593471,1.1335545466458445,6.697448216037306
24502,-0.12353979286503147,0.04121026864666355,0.4684780759368987,-0.2594084152804612,-0.40578434194966206,0.025724132308390324,-0.10962535268508855,0.03450998077736056,-0.04239555896768543,-0.12018515067162827,0.009434032233357925,-0.08633570128824797,-0.20040867528509843,-0.06720874969344948,-0.36131206318736364,-0.44606444333332895,-0.02496229455991461,-1.0692600766555822,-0.4214654494546055,1,-0.3885617199261526,0.17319101958532893,1.8916132651869628,1.0765725989912485,6.632192937252443
24503,-0.12391364482187583,-0.01755831221337889,0.4814836654819752,-0.09633110893843178,-0.17240026152389554,-0.6427163269330531,-0.05777780066681171,0.08257115402689497,-0.5114465489644564,0.0909717782057271,-0.36410582992759544,-0.2665012503723343,-0.025053502445550713,-0.23231385666661986,0.08269171584511259,0.055059777183027236,-0.2920694188814066,-0.505094949057006,0.12753105881548787,1,-0.5169524254346924,-0.046183762028478216,2.0218594168017154,1.1083534591393749,6.734227074646681
24504,-0.11133311383849787,0.5478981083809824,-0.2284126639942219,-0.7664784536454947,0.31167757800799656,0.20927104948350728,0.06791120561621078,-0.31332450306511905,0.33008697193254033,-0.3127281043778689,-0.15645217681553714,-0.04401688541677462,-0.08989500411654738,-0.04403227015050337,-1.0516953688803587,-0.46949742827314456,-0.16475523307605577,1.0116009116784794,-0.7731898882334813,1,-0.4189373013338804,0.08614828974451957,2.811292563707315,1.5520460842987625,6.7788508189099215
24517,-0.08068891125014321,0.3203590984780815,-0.33794390723266954,0.43363598507486056,0.23875144898020118,-0.13176927763112367,0.26737680629103533,-0.18099792986344632,-0.07082605256861285,0.5129510230783039,-1.0608719606852626,-0.0586487270815077,-0.5108256237659905,-0.5045560107523954,-0.25593337413720096,0.7185938462211094,0.43134455609598543,-1.2286654169163076,-0.14953173397096364,1,-0.5062343008714719,-0.30032563136340185,2.595206336420635,1.7966333282642852,6.803741069150764
24520,0.07596243197293262,-3.7612001156935624,-0.12361395596717628,2.233592221507094,3.332204510175204,-3.5263605246161616,1.2527629684953685,3.044522437723423,-0.27996002635787054,-1.4916548767777167,0.5596157879354227,-0.8668106746107855,0.7509667514487717,0.4358625852925355,-0.7221347174331978,-0.21868920096482913,-0.258411690151668,0.7282385003712157,0.0,1,0.3037820350090983,-1.1315699608174936,6.16215145764377,5.872081507279308,8.122163849446883
24521,0.023079622294959634,-0.09024687784777807,0.2850189550322968,0.6122950839308503,0.013698844358161821,-0.6333592621809725,0.3323428432792017,0.5510852980516914,-0.6111047578935027,-0.041576426845740144,0.5071491490366826,-0.1413135330665778,0.0069444723528109265,0.05129329438755015,-0.0747474265078143,-0.2980059557934167,-0.28611835047559886,-0.6190392084062228,0.09381875521765437,1,0.013199422517296881,-0.14320014270217987,1.9666159401100696,1.3789860939205971,6.270803652702426
24522,-0.11842243004382347,-0.5099668860575735,0.36201047886187876,0.07232066157962613,-0.18677590714333547,0.03409421134297563,-0.3914133546525145,-0.3318318570647101,0.5278473113354218,-0.1636294237818019,-0.4028977126029183,-0.5168226432383651,-0.052079149044889306,0.21347672457375033,-0.3503613487818802,0.06624938554120074,-0.3210184927193733,-0.25331442894757306,-0.5243263109848932,1,-0.5122134764773918,0.0010852548284169836,2.3968835896701286,1.0419205037670258,6.6966875072017755
24523,-0.0871035556319022,-0.07241257756847652,0.4763051034972703,-0.8115722708130235,0.168735887952276,0.22548586458187536,0.057041938387018654,-0.14454337224961478,-0.9848534033114511,-0.041672696400568476,0.26006541288038054,-0.3098457615058905,-0.205668920790945,0.2970366776190012,-0.12365370870515147,-0.17513433212784957,-0.4707364984613882,-0.4915942618381033,-0.326169505437627,1,-0.2864538194173407,0.09049559496629667,1.742540053375456,1.46371457392183,6.605328105109684
24526,-0.2710116315086726,-3.295836866004329,-0.6931471805599454,1.0068047394149873,-1.3862943611198904,0.737598943130779,-0.6161861394238168,-2.833213344056216,-0.3697470255060855,0.06782259633876109,-0.8362480242006187,-1.307157040561167,0.3528213746227422,0.18924199963852795,1.2953225829141637,-0.6539264674066638,-3.6109179126442243,0.15415067982725805,-0.5260930958967789,1,-1.5343545989914504,-0.31483691539163516,5.806709889121039,5.04662274717179,8.966956460108424
24527,-0.13319050289904677,1.2176716486840982,-0.47171449364936535,1.020523851696673,-0.2384110234449981,0.010256500167189486,0.1014694601648598,-0.5852582185487605,-0.6029960835656478,-0.06575137756278071,-0.23419338750079444,-0.23233197736861655,-0.8602012652231115,-0.43660534884388724,-0.05455898425043504,-0.42819335918572055,-0.7765287894989967,1.408767216971949,-0.4054651081081646,1,-0.8820482212939601,-0.3770509448559018,3.183546445294697,2.0397739216966126,7.3006758490994255
24528,-0.320960534424489,-1.631416819152876,0.12715517548524602,0.05264373348542151,-0.39136050192662175,-0.489548225318706,-0.4054651081081646,-0.4457390072461047,-0.8927602344639607,0.3600027340314069,-0.4474745161857072,-0.5705448584676129,-0.4929244134367501,0.3798525322514381,0.10071397560183115,0.008230499136515412,1.1814999484738777,-0.5108256237659909,-1.920068917871426,1,-0.9910718648948103,-0.2990762949738634,2.7828170319289813,2.5291823742260866,7.429009379956164
24529,-0.31939604794130805,-3.4011973816621555,-0.5908683314395269,-1.3397743454849977,0.18514243313559575,-1.8123787564307907,3.7612001156935624,-0.44952509790219475,0.9808292530117262,-0.1388364448542161,-1.7346010553881062,-0.3448404862917296,-0.4723593429381947,-1.1252805357502713,1.1720397572229273,-0.027028672387919173,-0.29423947299794007,-0.75377180237638,-1.0340737675305385,1,-0.546784208039223,-0.19033638322190818,5.755440327345379,4.8351299525349924,8.19072929717561
24530,-0.15979244373392643,0.48550781578170055,-4.07753744390572,0.0,2.5649493574615367,0.6380874033769182,1.203972804325936,-0.33024168687057687,1.1994169877900749,1.0986122886681098,-1.4759065198095778,-0.7563260821814768,0.5753641449035616,-0.5108256237659909,0.2151113796169457,-0.3136575588550419,-0.023530497410193973,-1.5755363607584187,-2.6390573296152584,1,0.22282026783940628,0.4054081304739692,5.100389591862059,4.750478666160092,7.603778185947786
24531,0.2746178729788049,1.0062389685370947,-0.1892419996385284,0.060624621816434576,1.5500144919632999,0.4323540083244959,-0.056925936796009324,0.4083594661345291,0.9857192383059186,0.6558757857627135,0.43130633929205153,0.6413709110362253,0.5826053061601222,0.06305813596713694,-0.38174858149084834,-0.0905968953522267,-0.3876074907081577,-1.3535045382968995,-0.1994893604163197,1,1.1588082646526026,0.042794180135506704,2.7973960109647735,2.344337582509479,5.4568100773667405
24534,0.07954308238210395,-0.16705408466316607,0.5166907432183887,-1.9459101490553135,-2.054123733695546,4.48863636973214,-0.44183275227903884,3.784189633918261,-3.610917912644225,-2.4849066497880004,-0.4883527679139319,-0.6523251860396901,-1.2829160066660559,0.2984929885559966,1.3197335946015523,1.7346010553881062,2.772588722239781,-0.6359887667199966,-3.828641396489095,0,0.8125445741238748,1.5180482508347146,6.705841689606808,7.6138922489299565,9.322911913806893
24536,-0.3502024294331143,0.2657031657330058,-3.044522437723423,0.0,0.0,0.0,0.0,0.0,-3.1780538303479458,0.6418538861723948,-0.2876820724517808,0.0,0.0,2.5649493574615367,-2.4849066497880004,0.0,0.0,-2.8903717578961645,0.0,0,-1.2850455570116304,-1.3392924596856,5.392732041236239,5.494055587805367,8.896720328375704
24538,0.12832142935442636,0.34520591658996747,0.7699111967717833,0.37948962170490397,0.11824782767032804,0.41871033485818465,0.3648503889539745,0.3595554068040867,0.40016005587847125,-0.34515850187717323,0.1813170363679486,0.030420596700712288,-0.6494721170572832,0.37309982360613336,-0.30561977313844846,0.3932250532136621,0.41945135008290446,-0.27871340246902054,-3.9318256327243257,1,0.2872432374342512,0.010815538593259672,3.5175472961924843,2.7467754314191573,6.4988683595241366
